Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Self,,-,"Self, No Target, Intercept",0,, No Target,,"Self, No Target, Intercept",,-,,,, Intercept,,0,,Normal,Cute - None - Inversed Appeal,,,0,Protect, No Target,Effect,0,,"If the user is hit by a Move, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects.",,Cute - None - Inversed Appeal,Center,,,Center,,Self, Intercept,,,Normal,Effect,"If the user is hit by a Move, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects."
Self,,-,"Self, 1 Target, Intercept",0,, 1 Target,,"Self, 1 Target, Intercept",,-,,,, Intercept,,0,,Psychic,Cool - 2d4 - Scrambler,,,0,Ally Switch, 1 Target,Effect,0,,"Choose one willing ally, shift the user's position to the ally's position and shift the ally's position to the user's position, trading places. If the ally was a target of a Move, the user is now the target. If the user was a target of a Move, the ally is now the target.",,Cool - 2d4 - Scrambler,Battle,,,Battle,,Self, Intercept,,,Psychic,Effect,"Choose one willing ally, shift the user's position to the ally's position and shift the ally's position to the user's position, trading places. If the ally was a target of a Move, the user is now the target. If the user was a target of a Move, the ally is now the target."
Ranged (10),,-,"Ranged (10), 1 Target, Intercept",0,, 1 Target,,"Ranged (10), 1 Target, Intercept",,-,,,, Intercept,,0,,Psychic,Cute - None - Torrential Appeal,,,0,Healing Wish, 1 Target,Effect,0,,"If the user's HP is lowered to 0 or less, you may use Healing Wish as an Intercept. The target is treated as if it had been healed at a Pokemon Center. Healing Wish may target a pokemon in a Poke Ball as long as they immediately join the encounter or are sent out. If the target knows Healing Wish, the user's Healing Wish does not restore its Center Frequency.",,Cute - None - Torrential Appeal,Center,,,Center,,Ranged (10), Intercept,,,Psychic,Effect,"If the user's HP is lowered to 0 or less, you may use Healing Wish as an Intercept. The target is treated as if it had been healed at a Pokemon Center. Healing Wish may target a pokemon in a Poke Ball as long as they immediately join the encounter or are sent out. If the target knows Healing Wish, the user's Healing Wish does not restore its Center Frequency."
Ranged (4),,-,"Ranged (4), 1 Target, Intercept",0,, 1 Target,,"Ranged (4), 1 Target, Intercept",,-,,,, Intercept,,0,,Psychic,Beauty - 2d4 - Final Appeal,,,0,Magic Coat, 1 Target,Effect,0,,"If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Intercept. The Intercepted Move's user is treated as if they were the target of their own Move.",,Beauty - 2d4 - Final Appeal,Center,,,Center,,Ranged (4), Intercept,,,Psychic,Effect,"If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Intercept. The Intercepted Move's user is treated as if they were the target of their own Move."
Ranged (20),,-,"Ranged (20), 1 Target, Intercept",0,, 1 Target,,"Ranged (20), 1 Target, Intercept",,-,,,, Intercept,,0,,Psychic,Beauty - 2d4 - Final Appeal,,,0,Mirror Coat, 1 Target,Effect,0,,"If the user is being hit by a Move that consults Special Attack for damage, you may use Mirror Coat. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats.",,Beauty - 2d4 - Final Appeal,Battle,,,Battle,,Ranged (20), Intercept,,,Psychic,Effect,"If the user is being hit by a Move that consults Special Attack for damage, you may use Mirror Coat. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats."
Self,,-,"Self, No Target, Intercept",0,, No Target,,"Self, No Target, Intercept",,-,,,, Intercept,,0,,Psychic,Cool - 2d4 - Quick Set,,,0,Teleport, No Target,Effect,0,,"Teleport can be used as an Intercept at any time. If used as an Intercept, roll 1d20 and if you don't roll 7 or higher, Teleport fails to activate. The user can shift 1d10+10 meters. They can move through blocking terrain and hindering terrain as if it is regular terrain. Moves that targeted Teleport's user continues through the desired target's space if the Move allows for it. If Teleport fails when used as an Intercept, treat it as if you did not use it for purposes of Frequency.",,Cool - 2d4 - Quick Set,Battle,,,Battle,,Self, Intercept,,,Psychic,Effect,"Teleport can be used as an Intercept at any time. If used as an Intercept, roll 1d20 and if you don't roll 7 or higher, Teleport fails to activate. The user can shift 1d10+10 meters. They can move through blocking terrain and hindering terrain as if it is regular terrain. Moves that targeted Teleport's user continues through the desired target's space if the Move allows for it. If Teleport fails when used as an Intercept, treat it as if you did not use it for purposes of Frequency."
Self,,-,"Self, No Target, Intercept",0,, No Target,,"Self, No Target, Intercept",,-,,,, Intercept,,0,,Rock,Tough - None - Inversed Appeal,,,0,Wide Guard, No Target,Effect,0,,"If a foe uses Move that hits multiple targets and Wide Guard's user is one of the targets you may use Wide Guard as an Interrupt. If a Move would hit the user and one of the user's allies, the Move only hits Wide Guard's user. If the user is hit by a Move this way, the user does not take any damage and is not affected by any other effects the Move has. This Effect lasts for one turn.",,Tough - None - Inversed Appeal,Center,,,Center,,Self, Intercept,,,Rock,Effect,"If a foe uses Move that hits multiple targets and Wide Guard's user is one of the targets you may use Wide Guard as an Interrupt. If a Move would hit the user and one of the user's allies, the Move only hits Wide Guard's user. If the user is hit by a Move this way, the user does not take any damage and is not affected by any other effects the Move has. This Effect lasts for one turn."
Ranged (6),,-,"Ranged (6), No Target, Hazard",0,, No Target,,"Ranged (6), No Target, Hazard",,-,,,, Hazard,,0,,Ground,Smart - 2d4 - Hold That Thought,,,0,Spikes, No Target,Effect,0,,"Set 10 square meters of Spikes, all 10 meters must be adjacent with at least one other space of Spikes next to each other. Spikes cause all foes to lose 1/8th of their full HP when joining the encounter or getting sent out. If there are 2 Layers of Spikes, the foes lose 1/6th of their full HP. If there are 3 Layers of Spikes, the foes lose 1/4th of their full HP.",,Smart - 2d4 - Hold That Thought,At-Will,,,At-Will,,Ranged (6), Hazard,,,Ground,Effect,"Set 10 square meters of Spikes, all 10 meters must be adjacent with at least one other space of Spikes next to each other. Spikes cause all foes to lose 1/8th of their full HP when joining the encounter or getting sent out. If there are 2 Layers of Spikes, the foes lose 1/6th of their full HP. If there are 3 Layers of Spikes, the foes lose 1/4th of their full HP."
Field,,-,"Field, Target Area, Hazard",0,, Target Area,,"Field, Target Area, Hazard",,-,,,, Hazard,,0,,Poison,Smart - 2d4 - Hold That Thought,,,0,Toxic Spikes, Target Area,Effect,0,,"Set 10 square meters of Toxic Spikes, all 10 meters must be adjacent with at least one other space of Toxic Spikes next to each other. Toxic Spikes Poisons a foe when joining the encounter or getting sent out. If there are 2 Layers of Toxic Spikes, it Deadly Poisons the foes instead.",,Smart - 2d4 - Hold That Thought,EOT,,,EOT,,Field, Hazard,,,Poison,Effect,"Set 10 square meters of Toxic Spikes, all 10 meters must be adjacent with at least one other space of Toxic Spikes next to each other. Toxic Spikes Poisons a foe when joining the encounter or getting sent out. If there are 2 Layers of Toxic Spikes, it Deadly Poisons the foes instead."
Field,,-,"Field, No Target, Hazard",0,, No Target,,"Field, No Target, Hazard",,-,,,, Hazard,,0,,Rock,Cool - 2d4 - Hold That Thought,,,0,Stealth Rock, No Target,Effect,0,,"Set 5 square meters of Stealth Rock, ""Rocks."" All 5 Rocks must be adjacent with at least one other space of Rocks next to each other. If a foe moves within 10 meters of a space occupied by Rocks, move at most one Rock to the offender, then destory the Rock. When that happens, Stealth Rock causes a foe to lose 1/8th of their full HP. Stealth Rock is considered to be dealing damage. Apply Weakness and Resistance. Do not apply stats. A Pokemon who has been hit by a Stealth Rock Hazard cannot get hit by another in the same encounter until it is returned to a Poke Ball and then sent back out. *Grants: Materializer",,Cool - 2d4 - Hold That Thought,Battle,,,Battle,,Field, Hazard,,,Rock,Effect,"Set 5 square meters of Stealth Rock, ""Rocks."" All 5 Rocks must be adjacent with at least one other space of Rocks next to each other. If a foe moves within 10 meters of a space occupied by Rocks, move at most one Rock to the offender, then destory the Rock. When that happens, Stealth Rock causes a foe to lose 1/8th of their full HP. Stealth Rock is considered to be dealing damage. Apply Weakness and Resistance. Do not apply stats. A Pokemon who has been hit by a Stealth Rock Hazard cannot get hit by another in the same encounter until it is returned to a Poke Ball and then sent back out. *Grants: Materializer"
Ranged (8),,3d8+10,"Ranged (8), 1 Target, Environ",0,, 1 Target,,"Ranged (8), 1 Target, Environ",,3d8+10,,,, Environ,,2,,Normal,Smart - 2d4 - Scrambler,,,0,Secret Power, 1 Target,Special,2,,Secret Power's effect depends on Environ. Secret Power's effect activates on 17-20 during Accuracy Check. *Grants: Sprouter,,Smart - 2d4 - Scrambler,EOT,,,EOT,,Ranged (8), Environ,,,Normal,Special,Secret Power's effect depends on Environ. Secret Power's effect activates on 17-20 during Accuracy Check. *Grants: Sprouter
Melee,,3d8+10,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d8+10,,,, Dash,,2,,Bug,Cute - None - Inversed Appeal,,,0,U-Turn, 1 Target,Physical,2,,"If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.",,Cute - None - Inversed Appeal,Battle,,,Battle,,Melee, Dash,,,Bug,Physical,"If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,2,,Bug,Beauty - 2d4 - Round Starter,,,0,X-Scissor, 1 Target,Physical,2,,-,,Beauty - 2d4 - Round Starter,EOT,,,EOT,,Melee, Dash,,,Bug,Physical,-
Melee,,4d12+16,"Melee, 1 Target, Dash, Push",0,, 1 Target,,"Melee, 1 Target, Dash, Push",,4d12+16,,,, Dash,,4,,Dragon,Cool - 2d4 - Round Ender,Flinches,,0,Dragon Rush, 1 Target,Physical,4,17,"The target is Pushed 3-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Dragon Rush Flinches the target on 17-20 during Accuracy Check.",,Cool - 2d4 - Round Ender,Battle,17,,Battle,,Melee, Dash,,Flinches,Dragon,Physical,"The target is Pushed 3-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Dragon Rush Flinches the target on 17-20 during Accuracy Check."
Melee,,3d8+10,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d8+10,,,, Dash,,2,,Electric,Cool - 3d4 - No Effect,,,0,Spark, 1 Target,Physical,2,,Spark Paralyzes the target on 15-20 during Accuracy Check.,,Cool - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Electric,Physical,Spark Paralyzes the target on 15-20 during Accuracy Check.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/3",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/3",,5d12+18,,,, Dash,,2,,Electric,Cool - 2d4 - Seen Nothing Yet,,,0,Volt Tackle, 1 Target,Physical,2,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Volt Tackle Paralyzes the target on 19-20 during Accuracy Check. After Volt Tackle deals damage, Recoil.",,Cool - 2d4 - Seen Nothing Yet,EOT,,,EOT,,Melee, Dash,,,Electric,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Volt Tackle Paralyzes the target on 19-20 during Accuracy Check. After Volt Tackle deals damage, Recoil."
Melee,,3d12+14,"Melee, 1 Target, Dash, Recoil 1/4",0,, 1 Target,,"Melee, 1 Target, Dash, Recoil 1/4",,3d12+14,,,, Dash,,2,,Electric,Tough - 3d4 - No Effect,,,0,Wild Charge, 1 Target,Physical,2,,"After Wild Charge deals damage, Recoil.",,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Electric,Physical,"After Wild Charge deals damage, Recoil."
Melee,,5d12+18,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,5d12+18,,,, Dash,,2,,Fighting,Smart - 2d4 - Seen Nothing Yet,,,0,Close Combat, 1 Target,Physical,2,,The user's Defense is lowered 1 Combat Stage and the user's Special Defense is lowered 1 Combat Stage.,,Smart - 2d4 - Seen Nothing Yet,Battle,,,Battle,,Melee, Dash,,,Fighting,Physical,The user's Defense is lowered 1 Combat Stage and the user's Special Defense is lowered 1 Combat Stage.
Melee,,4d12+16,"Melee, 1 Target, Dash, Push",0,, 1 Target,,"Melee, 1 Target, Dash, Push",,4d12+16,,,, Dash,,4,,Fighting,Cool - 2d4 - Round Ender,,,0,Cross Chop, 1 Target,Physical,4,,"Cross Chop is a Critical Hit on 16-20 during Accuracy Check. Cross Chop Pushes the target 1-meter. On Critical Hit, the target is Pushed 5-meters and the target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Cool - 2d4 - Round Ender,Battle,,,Battle,,Melee, Dash,,,Fighting,Physical,"Cross Chop is a Critical Hit on 16-20 during Accuracy Check. Cross Chop Pushes the target 1-meter. On Critical Hit, the target is Pushed 5-meters and the target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,2d10+8,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,2d10+8,,,, Dash,,4,,Fighting,Cool - 3d4 - No Effect,Flinches,,0,Rolling Kick, 1 Target,Physical,4,15,Rolling Kick Flinches the target on 15-20 during Accuracy Check.,,Cool - 3d4 - No Effect,EOT,15,,EOT,,Melee, Dash,,Flinches,Fighting,Physical,Rolling Kick Flinches the target on 15-20 during Accuracy Check.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push",0,, 1 Target,,"Melee, 1 Target, Dash, Push",,5d12+18,,,, Dash,,2,,Fighting,Tough - 2d4 - Round Ender,,,0,Superpower, 1 Target,Physical,2,,"Superpower lowers the user''s Attack and Defense by 1 Combat Stage each. The target is Pushed 6-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Tough - 2d4 - Round Ender,Battle,,,Battle,,Melee, Dash,,,Fighting,Physical,"Superpower lowers the user''s Attack and Defense by 1 Combat Stage each. The target is Pushed 6-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,2d10+8,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,2d10+8,,,, Dash,,2,,Fire,Beauty - 2d4 - Reliable,,,0,Flame Wheel, 1 Target,Physical,2,,Flame Wheel Burns the target on 19-20 during Accuracy Check.,,Beauty - 2d4 - Reliable,At-Will,,,At-Will,,Melee, Dash,,,Fire,Physical,Flame Wheel Burns the target on 19-20 during Accuracy Check.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/3",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/3",,5d12+18,,,, Dash,,2,,Fire,Smart - 2d4 - Seen Nothing Yet,,,0,Flare Blitz, 1 Target,Physical,2,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Flare Blitz Burns the target on 19-20 during Accuracy Check. After Flare Blitz deals damage, Recoil.",,Smart - 2d4 - Seen Nothing Yet,EOT,,,EOT,,Melee, Dash,,,Fire,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Flare Blitz Burns the target on 19-20 during Accuracy Check. After Flare Blitz deals damage, Recoil."
Melee,,See Effect,"Melee, 1 Target, Dash, Weight Class",0,, 1 Target,,"Melee, 1 Target, Dash, Weight Class",,See Effect,,,, Dash,,2,,Fire,Tough - 2d4 - Incentives,,,0,Heat Crash, 1 Target,Physical,2,,"If the user is in the same Weight Class as the target, use 1d10 for Damage Dice Roll; if the user is one Weight Class higher than the target, use 1d10+10; if the user is two Weight Classes higher than the target, use 2d12+12; if three classes, 3d10+14; if four classes, 5d10+16.",,Tough - 2d4 - Incentives,Battle,,,Battle,,Melee, Dash,,,Fire,Physical,"If the user is in the same Weight Class as the target, use 1d10 for Damage Dice Roll; if the user is one Weight Class higher than the target, use 1d10+10; if the user is two Weight Classes higher than the target, use 2d12+12; if three classes, 3d10+14; if four classes, 5d10+16."
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/3",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/3",,5d12+18,,,, Dash,,2,,Flying,Cute - 2d4 - Round Ender,,,0,Brave Bird, 1 Target,Physical,2,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Brave Bird deals damage, Recoil.",,Cute - 2d4 - Round Ender,EOT,,,EOT,,Melee, Dash,,,Flying,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Brave Bird deals damage, Recoil."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,2,,Flying,Cool - 3d4 - No Effect,,,0,Drill Peck, 1 Target,Physical,2,,-,,Cool - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Flying,Physical,-
Melee,,3d12+14,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d12+14,,,, Dash,,3,,Flying,Smart - 1d4 - Special Attention,,,0,Fly, 1 Target,Physical,3,,"Once you declare the use of Fly, the user is shifted 25-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower the user back to the target's level on the battlefield, then use Fly's damage. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Fly. *Grants: Sky +3",,Smart - 1d4 - Special Attention,EOT,,,EOT,,Melee, Dash,,,Flying,Physical,"Once you declare the use of Fly, the user is shifted 25-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower the user back to the target's level on the battlefield, then use Fly's damage. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Fly. *Grants: Sky +3"
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/3",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/3",,5d12+18,,,, Dash,,2,,Grass,Tough - 2d4 - Round Ender,,,0,Wood Hammer, 1 Target,Physical,2,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Wood Hammer deals damage, Recoil.",,Tough - 2d4 - Round Ender,EOT,,,EOT,,Melee, Dash,,,Grass,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Wood Hammer deals damage, Recoil."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,2,,Ground,Smart - 1d4 - Special Attention,,,0,Dig, 1 Target,Physical,2,,"Once you declare the use of Dig, the user is moved underground and their turn ends. On the next turn, Dig's user may shift, using their Overland or Burrow Speed then uses Dig's damage. While underground, Dig's user may not be the target of Moves. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dig. *Grants: Burrow +3",,Smart - 1d4 - Special Attention,Battle,,,Battle,,Melee, Dash,,,Ground,Physical,"Once you declare the use of Dig, the user is moved underground and their turn ends. On the next turn, Dig's user may shift, using their Overland or Burrow Speed then uses Dig's damage. While underground, Dig's user may not be the target of Moves. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dig. *Grants: Burrow +3"
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,3,,Normal,Cool - 3d4 - No Effect,,,0,Crush Claw, 1 Target,Physical,3,,Crush Claw lowers the target's Defense 1 Combat Stage on 11-20 during Accuracy Check.,,Cool - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Normal,Physical,Crush Claw lowers the target's Defense 1 Combat Stage on 11-20 during Accuracy Check.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/3",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/3",,5d12+18,,,, Dash,,2,,Normal,Tough - None - Big Show,,,0,Double-Edge, 1 Target,Physical,2,,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Double-Edge deals damage, Recoil.",,Tough - None - Big Show,EOT,,,EOT,,Melee, Dash,,,Normal,Physical,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Double-Edge deals damage, Recoil."
Melee,,-,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,-,,,, Dash,,2,,Normal,Tough - 2d4 - Final Appeal,,,0,Endeavor, 1 Target,Effect,2,,The target's HP is set to equal the user's HP if the user's current HP is less then the target's current HP. If the user's HP is equal to or greater than the target's HP nothing happens.,,Tough - 2d4 - Final Appeal,Center,,,Center,,Melee, Dash,,,Normal,Effect,The target's HP is set to equal the user's HP if the user's current HP is less then the target's current HP. If the user's HP is equal to or greater than the target's HP nothing happens.
Melee,,3d10+12,"Melee, 1 Target, Dash, Interrupt",0,, 1 Target,,"Melee, 1 Target, Dash, Interrupt",,3d10+12,,,, Dash,,2,,Normal,Cool - 2d4 - Quick Set,,,0,Extremespeed, 1 Target,Physical,2,,"If a foe wants to declare a Move, you may instead use Extremespeed on their turn before they can use their Move. Extremespeed may not be Interrupted. After the user finishes the damage step of their turn, they may shift again.",,Cool - 2d4 - Quick Set,Battle,,,Battle,,Melee, Dash,,,Normal,Physical,"If a foe wants to declare a Move, you may instead use Extremespeed on their turn before they can use their Move. Extremespeed may not be Interrupted. After the user finishes the damage step of their turn, they may shift again."
Melee,,7d10+28,"Melee, 1 Target, Dash, Burst, Exhaust",0,, 1 Target,,"Melee, 1 Target, Dash, Burst, Exhaust",,7d10+28,,,, Dash,,4,,Normal,Beauty - 2d4 - Seen Nothing Yet,,,0,Giga Impact, 1 Target,Physical,4,,"Giga Impact creates a 3-meter Burst around the target. On Miss, Giga Impact deals the user's Attack instead to all possible targets.",,Beauty - 2d4 - Seen Nothing Yet,Center,,,Center,,Melee, Dash,,,Normal,Physical,"Giga Impact creates a 3-meter Burst around the target. On Miss, Giga Impact deals the user's Attack instead to all possible targets."
Melee,,3d8+10,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d8+10,,,, Dash,,2,,Normal,Tough - 3d4 - No Effect,Flinches,,0,Headbutt, 1 Target,Physical,2,15,Headbutt Flinches the target on 15-20 during Accuracy Check.,,Tough - 3d4 - No Effect,EOT,15,,EOT,,Melee, Dash,,Flinches,Normal,Physical,Headbutt Flinches the target on 15-20 during Accuracy Check.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push, Recoil 1/4",0,, 1 Target,,"Melee, 1 Target, Dash, Push, Recoil 1/4",,5d12+18,,,, Dash,,2,,Normal,Tough - 3d4 - No Effect,,,0,Head Charge, 1 Target,Physical,2,,"The target is Pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Charge deals damage, Recoil.",,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Normal,Physical,"The target is Pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Charge deals damage, Recoil."
Melee,,3d8+10,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d8+10,,,, Dash,,2,,Normal,Cool - 3d4 - No Effect,,,0,Horn Attack, 1 Target,Physical,2,,-,,Cool - 3d4 - No Effect,At-Will,,,At-Will,,Melee, Dash,,,Normal,Physical,-
Melee,,6d12+22,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,6d12+22,,,, Dash,,2,,Normal,Cute - 2d4 - Torrential Appeal,,,0,Last Resort, 1 Target,Physical,2,,Last Resort can only be used after the user has performed 6 other different Moves during the same encounter.,,Cute - 2d4 - Torrential Appeal,Battle,,,Battle,,Melee, Dash,,,Normal,Physical,Last Resort can only be used after the user has performed 6 other different Moves during the same encounter.
Melee,,5d12+18,"Melee, 1 Target, Dash, Push",0,, 1 Target,,"Melee, 1 Target, Dash, Push",,5d12+18,,,, Dash,,6,,Normal,Cool - 2d4 - Round Ender,,,0,Mega Kick, 1 Target,Physical,6,,"The target is Pushed 6-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Cool - 2d4 - Round Ender,Center,,,Center,,Melee, Dash,,,Normal,Physical,"The target is Pushed 6-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,3d12+14,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d12+14,,,, Dash,,5,,Normal,Cool - 2d4 - Round Ender,,,0,Rock Climb, 1 Target,Physical,5,,Rock Climb Confuses the target on 17-20 during Accuracy Checks.,,Cool - 2d4 - Round Ender,Battle,,,Battle,,Melee, Dash,,,Normal,Physical,Rock Climb Confuses the target on 17-20 during Accuracy Checks.
Melee,,4d12+16,"Melee, 1 Target, Dash, Push",0,, 1 Target,,"Melee, 1 Target, Dash, Push",,4d12+16,,,, Dash,,2,,Normal,Tough - 1d4 - Special Attention,,,0,Skull Bash, 1 Target,Physical,2,,"Once you declare the use of Skull Bash, the user's turn ends. On its next turn, the user may shift and use Skull Bash's damage and effect. The target is Pushed 4-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,Tough - 1d4 - Special Attention,Battle,,,Battle,,Melee, Dash,,,Normal,Physical,"Once you declare the use of Skull Bash, the user's turn ends. On its next turn, the user may shift and use Skull Bash's damage and effect. The target is Pushed 4-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6."
Melee,,3d10+12,"Melee, 1 Target, Dash",0,, 1 Target,,"Melee, 1 Target, Dash",,3d10+12,,,, Dash,,6,,Normal,Tough - 3d4 - No Effect,,,0,Slam, 1 Target,Physical,6,,-,,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Dash,,,Normal,Physical,-
