Key:AttackName NVARCHAR(100),WasEditedForGame INT,Category NVARCHAR(100),ElementType NVARCHAR(100),Frequency NVARCHAR(100),Range NVARCHAR(100),AttackCategory NVARCHAR(100),NumOfTargets NVARCHAR(100),NumOfTurns NVARCHAR(100),AC NVARCHAR(100),Damage NVARCHAR(100),AttackEffects NVARCHAR(MAX),ExtraAffectType NVARCHAR(100),ExtraAffectResult NVARCHAR(100),LengthOfExtraAffect NVARCHAR(100),AccuracyCheckBonus NVARCHAR(100),AccuracyBonusType NVARCHAR(100),AccuracyBonusResult NVARCHAR(100),LengthOfBonusAffect NVARCHAR(100),FullRangeDescription NVARCHAR(MAX),ContestStats NVARCHAR(MAX),ContributedBy NVARCHAR(100)
Snatch,0,Effect,Dark,OncePerBattle,Ranged (10), Intercept, 1 Target,,0,-,"If the target is gaining a Combat Stage, you may use Snatch. The user gains the same Combat Stages the target does. Then, the target loses all Combat Stages they gained that turn. If the target is using a No Damage - Self Move, you may use Snatch. You use the No Damage - Self Move and the target does not.",,,,,,,,"Ranged (10), 1 Target, Intercept",Smart - None - Attention Grabber,
Counter,0,Effect,Fighting,OncePerBattle,Ranged 25, Intercept, 1 Target,,0,-,"If the user is being hit by a Move that consults Attack for damage, you may use Counter. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats.",,,,,,,,"Ranged 25, 1 Target, Intercept",Tough - 2d4 - Final Appeal,
Quick Guard,0,Effect,Fighting,Center,Self, Intercept, 1 Target,,0,-,"Quick Guard prevents the user and allies from being targeted by Moves used as an Interrupt or Intercept for one round. For that round Interrupt or Intercept attacks can only target you, or other allies using Quick Guard.",,,,,,,,"Self, 1 Target, Intercept",Cool - None - Inversed Appeal,
Destiny Bond,0,Effect,Ghost,Center,Ranged (20), Intercept, 1 Target,,0,-,"When the user faints after taking damage from a Move, you may use Destiny Bond as an Intercept to target the Pokemon who lowered the user to 0 HP or less. Roll 1d20, on a roll of 6 or better the target is set to 0 HP.",,,,,,,,"Ranged (20), 1 Target, Intercept",Smart - None - Big Show,
Grudge,0,Effect,Ghost,Center,Ranged (20), Intercept, 1 Target,,0,-,"When the user faints, you may use Grudge as an Intercept. The Move that caused the user to drop to 0 HP or less has its Frequency changed to Center for 1 hour.",,,,,,,,"Ranged (20), 1 Target, Intercept",Tough - 2d4 - Unsettling,
Bide,0,Effect,Normal,OncePerBattle,Ranged (15), Intercept, 1 Target,,0,-,"You may use Bide as an Intercept upon being targeted by a Move. After declaring the use of Bide, the user ends their turn. At the start of their next turn, end their turn. On the turn after that, add up all of the damage the user has taken in the past 2 turns, call that total X. Bide's Target loses HP equal to twice the value of X. Do not apply weakness or resistance to the HP lost as a result of Bide. Do not apply stats to the HP lost as a result of Bide. Bide cannot miss.",,,,,,,,"Ranged (15), 1 Target, Intercept",Tough - 2d4 - Final Appeal,
Ally Switch,0,Effect,Psychic,OncePerBattle,Self, Intercept, 1 Target,,0,-,"Choose one willing ally, shift the user's position to the ally's position and shift the ally's position to the user's position, trading places. If the ally was a target of a Move, the user is now the target. If the user was a target of a Move, the ally is now the target.",,,,,,,,"Self, 1 Target, Intercept",Cool - 2d4 - Scrambler,
Healing Wish,0,Effect,Psychic,Center,Ranged (10), Intercept, 1 Target,,0,-,"If the user's HP is lowered to 0 or less, you may use Healing Wish as an Intercept. The target is treated as if it had been healed at a Pokemon Center. Healing Wish may target a pokemon in a Poke Ball as long as they immediately join the encounter or are sent out. If the target knows Healing Wish, the user's Healing Wish does not restore its Center Frequency.",,,,,,,,"Ranged (10), 1 Target, Intercept",Cute - None - Torrential Appeal,
Magic Coat,0,Effect,Psychic,Center,Ranged (4), Intercept, 1 Target,,0,-,"If the user is about to get a hit by a Move that does not have a Damage Dice Roll, they may use Magic Coat as an Intercept. The Intercepted Move's user is treated as if they were the target of their own Move.",,,,,,,,"Ranged (4), 1 Target, Intercept",Beauty - 2d4 - Final Appeal,
Mirror Coat,0,Effect,Psychic,OncePerBattle,Ranged (20), Intercept, 1 Target,,0,-,"If the user is being hit by a Move that consults Special Attack for damage, you may use Mirror Coat. If the user survives the hit, the target is dealt damage equal to twice the amount of damage the user received. Do not apply weakness, resistance or immunity. Do not apply stats.",,,,,,,,"Ranged (20), 1 Target, Intercept",Beauty - 2d4 - Final Appeal,
Secret Power,0,Special,Normal,EOT,Ranged (8), Environ, 1 Target,,2,3d8+10,Secret Power's effect depends on Environ. Secret Power's effect activates on 17-20 during Accuracy Check. *Grants: Sprouter,,,,,,,,"Ranged (8), 1 Target, Environ",Smart - 2d4 - Scrambler,
U-Turn,0,Physical,Bug,OncePerBattle,Melee, Dash, 1 Target,,2,3d8+10,"If U-Turn successfully hits its target, the user deals damage and then immediately is returned to its Poke Ball in the same turn. A New Pokemon may immediately be sent out.",,,,,,,,"Melee, 1 Target, Dash",Cute - None - Inversed Appeal,
X-Scissor,0,Physical,Bug,EOT,Melee, Dash, 1 Target,,2,3d10+12,-,,,,,,,,"Melee, 1 Target, Dash",Beauty - 2d4 - Round Starter,
Dragon Rush,0,Physical,Dragon,OncePerBattle,Melee, Dash, 1 Target,,4,4d12+16,"The target is Pushed 3-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Dragon Rush Flinches the target on 17-20 during Accuracy Check.",,,,17,,Flinches,,"Melee, 1 Target, Dash, Push",Cool - 2d4 - Round Ender,
Spark,0,Physical,Electric,EOT,Melee, Dash, 1 Target,,2,3d8+10,Spark Paralyzes the target on 15-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Dash",Cool - 3d4 - No Effect,
Volt Tackle,0,Physical,Electric,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Volt Tackle Paralyzes the target on 19-20 during Accuracy Check. After Volt Tackle deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/3",Cool - 2d4 - Seen Nothing Yet,
Wild Charge,0,Physical,Electric,EOT,Melee, Dash, 1 Target,,2,3d12+14,"After Wild Charge deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Recoil 1/4",Tough - 3d4 - No Effect,
Close Combat,0,Physical,Fighting,OncePerBattle,Melee, Dash, 1 Target,,2,5d12+18,The user's Defense is lowered 1 Combat Stage and the user's Special Defense is lowered 1 Combat Stage.,,,,,,,,"Melee, 1 Target, Dash",Smart - 2d4 - Seen Nothing Yet,
Cross Chop,0,Physical,Fighting,OncePerBattle,Melee, Dash, 1 Target,,4,4d12+16,"Cross Chop is a Critical Hit on 16-20 during Accuracy Check. Cross Chop Pushes the target 1-meter. On Critical Hit, the target is Pushed 5-meters and the target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Dash, Push",Cool - 2d4 - Round Ender,
Rolling Kick,0,Physical,Fighting,EOT,Melee, Dash, 1 Target,,4,2d10+8,Rolling Kick Flinches the target on 15-20 during Accuracy Check.,,,,15,,Flinches,,"Melee, 1 Target, Dash",Cool - 3d4 - No Effect,
Superpower,0,Physical,Fighting,OncePerBattle,Melee, Dash, 1 Target,,2,5d12+18,"Superpower lowers the user''s Attack and Defense by 1 Combat Stage each. The target is Pushed 6-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Dash, Push",Tough - 2d4 - Round Ender,
Flame Wheel,0,Physical,Fire,At-Will,Melee, Dash, 1 Target,,2,2d10+8,Flame Wheel Burns the target on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Dash",Beauty - 2d4 - Reliable,
Flare Blitz,0,Physical,Fire,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Flare Blitz Burns the target on 19-20 during Accuracy Check. After Flare Blitz deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/3",Smart - 2d4 - Seen Nothing Yet,
Heat Crash,0,Physical,Fire,OncePerBattle,Melee, Dash, 1 Target,,2,See Effect,"If the user is in the same Weight Class as the target, use 1d10 for Damage Dice Roll; if the user is one Weight Class higher than the target, use 1d10+10; if the user is two Weight Classes higher than the target, use 2d12+12; if three classes, 3d10+14; if four classes, 5d10+16.",,,,,,,,"Melee, 1 Target, Dash, Weight Class",Tough - 2d4 - Incentives,
Brave Bird,0,Physical,Flying,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Brave Bird deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/3",Cute - 2d4 - Round Ender,
Drill Peck,0,Physical,Flying,EOT,Melee, Dash, 1 Target,,2,3d10+12,-,,,,,,,,"Melee, 1 Target, Dash",Cool - 3d4 - No Effect,
Fly,0,Physical,Flying,EOT,Melee, Dash, 1 Target,,3,3d12+14,"Once you declare the use of Fly, the user is shifted 25-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower the user back to the target's level on the battlefield, then use Fly's damage. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Fly. *Grants: Sky +3",,,,,,,,"Melee, 1 Target, Dash",Smart - 1d4 - Special Attention,
Wood Hammer,0,Physical,Grass,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Wood Hammer deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/3",Tough - 2d4 - Round Ender,
Dig,0,Physical,Ground,OncePerBattle,Melee, Dash, 1 Target,,2,3d10+12,"Once you declare the use of Dig, the user is moved underground and their turn ends. On the next turn, Dig's user may shift, using their Overland or Burrow Speed then uses Dig's damage. While underground, Dig's user may not be the target of Moves. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dig. *Grants: Burrow +3",,,,,,,,"Melee, 1 Target, Dash",Smart - 1d4 - Special Attention,
Crush Claw,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,3,3d10+12,Crush Claw lowers the target's Defense 1 Combat Stage on 11-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Dash",Cool - 3d4 - No Effect,
Double-Edge,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Double-Edge deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/3",Tough - None - Big Show,
Endeavor,0,Effect,Normal,Center,Melee, Dash, 1 Target,,2,-,The target's HP is set to equal the user's HP if the user's current HP is less then the target's current HP. If the user's HP is equal to or greater than the target's HP nothing happens.,,,,,,,,"Melee, 1 Target, Dash",Tough - 2d4 - Final Appeal,
Extremespeed,0,Physical,Normal,OncePerBattle,Melee, Dash, 1 Target,,2,3d10+12,"If a foe wants to declare a Move, you may instead use Extremespeed on their turn before they can use their Move. Extremespeed may not be Interrupted. After the user finishes the damage step of their turn, they may shift again.",,,,,,,,"Melee, 1 Target, Dash, Interrupt",Cool - 2d4 - Quick Set,
Giga Impact,0,Physical,Normal,Center,Melee, Dash, 1 Target,,4,7d10+28,"Giga Impact creates a 3-meter Burst around the target. On Miss, Giga Impact deals the user's Attack instead to all possible targets.",,,,,,,,"Melee, 1 Target, Dash, Burst, Exhaust",Beauty - 2d4 - Seen Nothing Yet,
Headbutt,1,Physical,Normal,EOT,Melee, Dash, 1 Target,1,2,3d8+10,Headbutt Flinches the target on 15-20 during Accuracy Check.,NULL,NULL,NULL,15,Effect,Flinched,1,"Melee, 1 Target, Dash",Tough - 3d4 - No Effect,Omer
Head Charge,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,2,5d12+18,"The target is Pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Charge deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/4",Tough - 3d4 - No Effect,
Horn Attack,0,Physical,Normal,At-Will,Melee, Dash, 1 Target,,2,3d8+10,-,,,,,,,,"Melee, 1 Target, Dash",Cool - 3d4 - No Effect,
Last Resort,0,Physical,Normal,OncePerBattle,Melee, Dash, 1 Target,,2,6d12+22,Last Resort can only be used after the user has performed 6 other different Moves during the same encounter.,,,,,,,,"Melee, 1 Target, Dash",Cute - 2d4 - Torrential Appeal,
Mega Kick,0,Physical,Normal,Center,Melee, Dash, 1 Target,,6,5d12+18,"The target is Pushed 6-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Dash, Push",Cool - 2d4 - Round Ender,
Rock Climb,0,Physical,Normal,OncePerBattle,Melee, Dash, 1 Target,,5,3d12+14,Rock Climb Confuses the target on 17-20 during Accuracy Checks.,,,,,,,,"Melee, 1 Target, Dash",Cool - 2d4 - Round Ender,
Skull Bash,0,Physical,Normal,OncePerBattle,Melee, Dash, 1 Target,,2,4d12+16,"Once you declare the use of Skull Bash, the user's turn ends. On its next turn, the user may shift and use Skull Bash's damage and effect. The target is Pushed 4-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Dash, Push",Tough - 1d4 - Special Attention,
Slam,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,6,3d10+12,-,,,,,,,,"Melee, 1 Target, Dash",Tough - 3d4 - No Effect,
Stomp,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,2,3d8+10,"Stomp Flinches the target on 15-20 during Accuracy Check. If the target is Small, Stomp deals an additional 1d10.",,,,15,,Flinches,,"Melee, 1 Target, Dash",Tough - 3d4 - No Effect,
Tackle,0,Physical,Normal,At-Will,Melee, Dash, 1 Target,,3,2d8+6,-,,,,,,,,"Melee, 1 Target, Dash",Tough - 3d4 - No Effect,
Take Down,0,Physical,Normal,EOT,Melee, Dash, 1 Target,,5,3d12+14,"After Take Down deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Recoil 1/4",Tough - 3d4 - No Effect,
Zen Headbutt,0,Physical,Psychic,EOT,Melee, Dash, 1 Target,,4,3d10+12,Zen Headbutt Flinches the target on 15-20 during Accuracy Check.,,,,15,,Flinches,,"Melee, 1 Target, Dash",Beauty - 2d4 - Round Ender,
Head Smash,0,Physical,Rock,OncePerBattle,Melee, Dash, 1 Target,,5,7d10+28,"The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Head Smash deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Dash, Push, Recoil 1/2",Tough - 2d4 - Seen Nothing Yet,
Iron Head,0,Physical,Steel,EOT,Melee, Dash, 1 Target,,2,3d10+12,Iron Head Flinches the target on 15-20 during Accuracy Check.,,,,15,,Flinches,,"Melee, 1 Target, Dash",Tough - 2d4 - Round Ender,
Meteor Mash,0,Physical,Steel,OncePerBattle,Melee, Dash, 1 Target,,4,4d12+16,Raise the user's Attack 1 Combat Stage on 15-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Dash, Spirit Surge",Cool - 2d4 - Round Ender,
Dive,0,Physical,Water,OncePerBattle,Melee, Dash, 1 Target,,2,3d10+12,"Once you declare the use of Dive, the user is moved underwater and their turn ends. On the next turn, Dive's user may shift then use Dive's damage. While underwater, Dive's user may not be the target of Moves. There must be a body of water around the battlefield to use Dive. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Dive. *Grants: Underwater +3; Eliminates: Sinker",,,,,,,,"Melee, 1 Target, Dash",Beauty - 1d4 - Special Attention,
Signal Beam,0,Special,Bug,EOT,Ranged (8), Column, 1 Target,,2,3d10+12,Signal Beam creates a Column 1 meter wide. Signal Beam confuses the target and any Legal Targets on 19-20 during Accuracy Check.,,,,19,,,,"Ranged (8), 1 Target, Column",Beauty - None - Incentives,
Silver Wind,0,Special,Bug,Center,Ranged (15), Column, 1 Target,,2,2d10+8,"Silver Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Silver Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Silver Wind.",,,,16,,,,"Ranged (15), 1 Target, Column, Spirit Surge",Beauty - 2d4 - Incentives,
String Shot,0,Effect,Bug,At-Will,Ranged (6), Column, 1 Target,,3,-,"String Shot creates a Column 2-meters wide. All Legal Targets within the Column lower their Speed 1 Combat Stage. If a target is hit by String Shot 5 times within 5 rounds of combat, they are Trapped. If a target's Speed Combat Stage has already been lowered 6 times, String Shot Traps them. *Grants: Threaded",,,,,,,,"Ranged (6), 1 Target, Column",Smart - 2d4 - Excitement,
Struggle Bug,0,Special,Bug,EOT,Ranged (3), Column, 1 Target,,2,1d10+4,Struggle Bug creates a Column 1 meter wide. Struggle Bug lowers all Legal Targets Special Attack 1 Combat Stage.,,,,,,,,"Ranged (3), 1 Target, Column",Smart - 2d4 - Excitement,
Dragonbreath,0,Special,Dragon,EOT,Ranged (3), Column, 1 Target,,2,2d10+8,Dragonbreath creates a Column 1 meter wide. Dragonbreath Paralyzes all Legal Targets on 15-20 during Accuracy Check.,,,,,,,,"Ranged (3), 1 Target, Column",Cool - 2d4 - Round Starter,
Charge Beam,0,Special,Electric,OncePerBattle,Ranged (5), Column, 1 Target,,3,2d8+6,Charge Beam creates a Column 1 meter wide. Charge Beam raises the user's Special Attack 1 Combat Stage on 11-20 during Accuracy Check.,,,,,,,,"Ranged (5), 1 Target, Column, Spirit Surge",Beauty - 2d4 - Round Starter,
Electroweb,0,Special,Electric,EOT,Ranged (4), Column, 1 Target,,3,2d10+8,Electroweb creates a Column 2-meters wide. All Legal Targets are lowered 1 Speed Combat Stage. *Grants: Threaded,,,,,,,,"Ranged (4), 1 Target, Column",Smart - 2d4 - Hold That Thought,
Shock Wave,0,Special,Electric,EOT,Ranged (2), Column, 1 Target,,0,2d10+8,Shock Wave creates a Column 2-meters wide. Shock Wave cannot miss. *Grants: Zapper,,,,,,,,"Ranged (2), 1 Target, Column",Cool - 2d4 - Round Starter,
Thunderbolt,0,Special,Electric,OncePerBattle,Ranged (7), Column, 1 Target,,2,4d12+16,Thunderbolt creates a Column 1 meter wide. Thunderbolt Paralyzes all Legal Targets on 19-20 during Accuracy Check. *Grants: Zapper,,,,,,,,"Ranged (7), 1 Target, Column",Cool - 2d4 - Round Starter,
Flamethrower,0,Special,Fire,OncePerBattle,Ranged (4), Column, 1 Target,,2,4d12+16,Flamethrower creates a Column 1 meter wide. Flamethrower Burns the target on 19-20 during Accuracy Check. *Grants: Firestarter,,,,,,,,"Ranged (4), 1 Target, Column",Beauty - 2d4 - Round Starter,
Fusion Flare,0,Special,Fire,Center,Ranged (10), Column, 1 Target,,2,4d12+16,"Fusion Flare creates a 4-meter Column. If an opponent in this, or the last, round of the encounter used Fusion Bolt, Fusion Flare deals an additional 8d12 in Damage Dice Roll.",,,,,,,,"Ranged (10), 1 Target, Column",Beauty - 2d4 - Seen Nothing Yet,
Aeroblast,0,Special,Flying,Center,Ranged (20), Column, 1 Target,,3,4d12+16,Aeroblast creates a Column 2-meters wide. Aeroblast is a Critical Hit on 11-20 during Accuracy Check.,,,,,,,,"Ranged (20), 1 Target, Column",Cool - 2d4 - Seen Nothing Yet,
Chatter,0,Special,Flying,EOT,Ranged (4), Column, 1 Target,,2,2d10+8,Chatter creates a Column 1 meter wide. Chatter Confuses all Legal Targets.,,,,,,,,"Ranged (4), 1 Target, Column",Smart - 1d4 - Catching Up,
Confuse Ray,0,Effect,Ghost,Center,Ranged (10), Column, 1 Target,,0,-,Confuse Ray creates a Column 1 meter wide. Confuse Ray cannot miss. All targets are Confused.,,,,,,,,"Ranged (10), 1 Target, Column",Smart - 2d4 - Unsettling,
Ominous Wind,0,Special,Ghost,Center,Ranged (10), Column, 1 Target,,2,2d10+8,"Ominous Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ominous Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ominous Wind.",,,,,,,,"Ranged (10), 1 Target, Column, Spirit Surge",Smart - None - Get Ready!,
Solarbeam,0,Special,Grass,OncePerBattle,Ranged (10), Column, 1 Target,,2,5d12+18,"Once you declare the use of Solarbeam, the user's turn ends. On its next turn, the user may shift and use Solarbeam's damage. If it is Sunny, Solarbeam uses its damage on the turn you declare its use. If it is Rainy or Sand Storming Solarbeam's user must end their turn immediately at the start of their second turn after declaring Solarbeam's use, only getting to use Solarbeam's damage on the third turn. If it is Hailing, Solarbeam's damage is 3d10. Solarbeam creates a Column 1 meter wide. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Solarbeam.",,,,,,,,"Ranged (10), 1 Target, Column",Cool - 1d4 - Special Attention,
Fissure,0,Effect,Ground,Center,Ranged (5), Column, 1 Target,,15,-,Fissure creates a Column that is 3-meters wide. All Legal Targets have their HP set to 0. Fissure can hit targets using the Move Dig.,,,,,,,,"Ranged (5), 1 Target, Column",Tough - None - Big Show,
Mud Shot,0,Special,Ground,EOT,Ranged (3), Column, 1 Target,,3,2d10+8,Mud Shot creates a Column 1 meter wide. All Legal Targets have their Speed lowered 1 Combat Stage.,,,,,,,,"Ranged (3), 1 Target, Column",Tough - 2d4 - Slow Set,
Mud-Slap,0,Special,Ground,EOT,Ranged (2), Column, 1 Target,,2,1d6+3,Mud-Slap creates a Column 1-meter wide. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter.,,,,,,,,"Ranged (2), 1 Target, Column",Cute - 3d4 - No Effect,
Sand-Attack,0,Effect,Ground,EOT,Ranged (2), Column, 1 Target,,2,-,Sand-Attack creates a Column 1 meter wide. All Legal Targets must roll +1 during Accuracy Checks for the remainder of the encounter.,,,,,,,,"Ranged (2), 1 Target, Column",Cute - 1d4 - Excitement,
Aurora Beam,0,Special,Ice,EOT,Ranged (6), Column, 1 Target,,2,3d8+10,Aurora Beam creates a Column 1 meter wide. Aurora Beam lowers the target's Attack 1 Combat Stage on 18-20 during Accuracy Check. *Grants: Freezer,,,,,,,,"Ranged (6), 1 Target, Column",Beauty - 2d4 - Round Starter,
Avalanche,0,Physical,Ice,OncePerBattle,Ranged (5), Column, 1 Target,,2,2d10+8,"Avalanche creates a Column 2-meters wide. If a target damaged Avalanche's user on their last turn during the same round of combat, deal 5d12+18 instead for Damage Dice Roll.",,,,,,,,"Ranged (5), 1 Target, Column",Cool - 2d4 - Final Appeal,
Blizzard,0,Special,Ice,OncePerBattle,Ranged (6), Column, 1 Target,,7,5d12+18,"Blizzard creates a Column that is 3-meters wide. Blizzard Freezes all legal targets on 16-20 during accuracy Check. If it is Hailing, Blizzard cannot miss. *Grants: Freezer",,,,,,,,"Ranged (6), 1 Target, Column",Beauty - 2d4 - Round Starter,
Freeze Shock,0,Physical,Ice,Center,Ranged (10), Column, 1 Target,,4,6d12+22,"Freeze Shock creates a Column 2-meters wide. All Legal Targets are pushed 10-meters and take an additional 1d6 if Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Freeze Shock paralyzes all Legal Targets on 15-20 on Accuracy Check.",,,,,,,,"Ranged (10), 1 Target, Column, Push",Beauty - 2d4 - Seen Nothing Yet,
Ice Beam,0,Special,Ice,OncePerBattle,Ranged (8), Column, 1 Target,,2,4d12+16,Ice Beam creates a Column 1 meter wide. Ice Beam Freezes all Legal Targets on 19-20 during Accuracy Check. *Grants: Freezer,,,,,,,,"Ranged (8), 1 Target, Column",Beauty - 2d4 - Round Starter,
Ice Burn,0,Special,Ice,Center,Ranged (10), Column, 1 Target,,4,6d12+22,"Ice Burn creates a Column 2-meters wide. All Legal Targets are pushed 10-meters and take an additional 1d6 if Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Ice Burn Burns all Legal Targets on 15-20 on Accuracy Check.",,,,,,,,"Ranged (10), 1 Target, Column",Beauty - 2d4 - Seen Nothing Yet,
Icy Wind,0,Special,Ice,EOT,Ranged (6), Column, 1 Target,,3,2d10+8,Icy Wind creates a Column 1-meter wide. All Legal Targets have their Speed lowered 1 Combat Stage.,,,,,,,,"Ranged (6), 1 Target, Column",Beauty - 2d4 - Slow Set,
Powder Snow,0,Special,Ice,At-Will,Ranged (3), Column, 1 Target,,2,1d12+6,Powder Snow creates a 1-meter wide. Powder Snow Freezes all Legal Targets on 19-20 during Accuracy Check. *Grants: Freezer,,,,,,,,"Ranged (3), 1 Target, Column",Beauty - 3d4 - No Effect,
Hyper Beam,0,Special,Normal,Center,Ranged (15), Column, 1 Target,,4,7d10+28,"Hyper Beam creates a Column 1 meter wide. On Miss, Hyper Beam deals the user's Special Attack instead to all possible targets.",,,,,,,,"Ranged (15), 1 Target, Column, Exhaust",Cool - 2d4 - Seen Nothing Yet,
Hyper Voice,0,Special,Normal,OncePerBattle,Ranged (4), Column, 1 Target,,2,3d12+14,Hyper Voice creates a Column 4-meters wide. All Legal Targets are Pushed back 3-meters.,,,,,,,,"Ranged (4), 1 Target, Column, Push",Cool - 3d4 - No Effect,
Sonicboom,0,Effect,Normal,EOT,Ranged (4), Column, 1 Target,,6,15,Sonicboom creates a Column 1 meter wide. Sonicboom always deals 15 points of Damage. Do not apply weakness or resistance. Do not apply stats.,,,,,,,,"Ranged (4), 1 Target, Column",Cool - 3d4 - No Effect,
Supersonic,0,Effect,Normal,EOT,Ranged (6), Column, 1 Target,,11,-,Supersonic creates a Column 1 meter wide. Supersonic Confuses all Legal Targets.,,,,,,,,"Ranged (6), 1 Target, Column",Smart - 2d4 - Excitement,
Acid Spray,0,Special,Poison,EOT,Ranged (3), Column, 1 Target,,2,1d12+6,Acid Spray creates a Column 1 meter wide. Acid Spray lowers all Legal Targets' Special Defense 2 Combat Stages.,,,,,,,,"Ranged (3), 1 Target, Column",Smart - 2d4 - Unsettling,
Sludge,0,Special,Poison,EOT,Ranged (8), Column, 1 Target,,2,3d8+10,Sludge creates a Column 2-meters wide. Sludge poisons all Legal Targets on 15-20 during Accuracy Check.,,,,,,,,"Ranged (8), 1 Target, Column",Tough - 2d4 - Round Ender,
Future Sight,0,Special,Psychic,Center,Ranged (10), Column, 1 Target,,2,4d12+16,"Future Sight does nothing on the turn it is used. At the end of the second turn after Future Sight's use, use Future Sight's damage and effect. Future Sight creates a Column 1 meter wide, which starts from anywhere on the field.",,,,,,,,"Ranged (10), 1 Target, Column",Smart - 2d4 - Round Starter,
Luster Purge,0,Special,Psychic,Center,Ranged (15), Column, 1 Target,,2,3d8+10,Luster Purge creates a Column 1 meter wide; Luster Purge creates a 5-meter Blast. Luster Purge lowers all Legal Targets Special Defense 1 Combat Stage on 11-20 during Accuracy Check.,,,,,,,,"Ranged (15), 1 Target, Column, Blast",Smart - 2d4 - Seen Nothing Yet,
